row,zone_name,hour,parkings_booked
275,15-3,11,0
276,15-3,12,0
277,15-3,13,0
278,15-3,14,0
279,15-3,15,0
280,15-3,16,0
281,15-3,17,0
282,15-3,18,0
283,15-3,19,0
284,15-3,20,0
285,15-3,21,0
286,15-3,22,0
287,15-3,23,0
288,16-1,0,3
289,16-1,1,4
290,16-1,2,4
291,16-1,3,4
292,16-1,4,4
293,16-1,5,4
294,16-1,6,6
295,16-1,7,13
296,16-1,8,28
297,16-1,9,41
298,16-1,10,54
299,16-1,11,59
300,16-1,12,46
301,16-1,13,28
302,16-1,14,17
303,16-1,15,13
304,16-1,16,9
305,16-1,17,4
306,16-1,18,4
307,16-1,19,4
308,16-1,20,4
309,16-1,21,4
310,16-1,22,4
311,16-1,23,4
312,16-2,0,0
313,16-2,1,0
314,16-2,2,0
315,16-2,3,0
316,16-2,4,0
317,16-2,5,0
318,16-2,6,0
319,16-2,7,1
320,16-2,8,2
321,16-2,9,3
322,16-2,10,4
323,16-2,11,3
324,16-2,12,2
325,16-2,13,1
326,16-2,14,0
327,16-2,15,0
328,16-2,16,0
329,16-2,17,0
330,16-2,18,0
331,16-2,19,0
332,16-2,20,0
333,16-2,21,0
334,16-2,22,0
335,16-2,23,0
336,16-3,0,1
337,16-3,1,1
338,16-3,2,1
339,16-3,3,1
340,16-3,4,1
341,16-3,5,1
342,16-3,6,1
343,16-3,7,3
344,16-3,8,6
345,16-3,9,8
346,16-3,10,7
347,16-3,11,7
348,16-3,12,7
349,16-3,13,7
350,16-3,14,6
351,16-3,15,6
352,16-3,16,3
353,16-3,17,1
354,16-3,18,1
355,16-3,19,1
356,16-3,20,1
357,16-3,21,1
358,16-3,22,1
359,16-3,23,1
360,17-PP,0,0
361,17-PP,1,0
362,17-PP,2,0
363,17-PP,3,0
364,17-PP,4,0
365,17-PP,5,0
366,17-PP,6,0
367,17-PP,7,1
368,17-PP,8,1
369,17-PP,9,2
370,17-PP,10,3
371,17-PP,11,2
372,17-PP,12,2
373,17-PP,13,2
374,17-PP,14,2
375,17-PP,15,2
376,17-PP,16,1
377,17-PP,17,0
378,17-PP,18,0
379,17-PP,19,0
380,17-PP,20,0
381,17-PP,21,0
382,17-PP,22,0
383,17-PP,23,0
384,17-PP2,0,0
385,17-PP2,1,0
386,17-PP2,2,0
387,17-PP2,3,0
388,17-PP2,4,0
389,17-PP2,5,0
390,17-PP2,6,1
391,17-PP2,7,6
392,17-PP2,8,9
393,17-PP2,9,10
394,17-PP2,10,10
395,17-PP2,11,8
396,17-PP2,12,6
397,17-PP2,13,5
398,17-PP2,14,7
399,17-PP2,15,6
400,17-PP2,16,2
401,17-PP2,17,0
402,17-PP2,18,0
403,17-PP2,19,0
404,17-PP2,20,0
405,17-PP2,21,0
406,17-PP2,22,0
407,17-PP2,23,0
408,18-1,0,22
409,18-1,1,26
410,18-1,2,26
411,18-1,3,26
412,18-1,4,26
413,18-1,5,26
414,18-1,6,27
415,18-1,7,33
416,18-1,8,34
417,18-1,9,42
418,18-1,10,56
419,18-1,11,57
420,18-1,12,53
421,18-1,13,47
422,18-1,14,47
423,18-1,15,47
424,18-1,16,61
425,18-1,17,73
426,18-1,18,89
